role,link,remote_testing,adaptive_irt,test_types
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,✅,❌,"P, B, C, A, S"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,✅,❌,"S, B, C, P"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,✅,✅,"A, B, P, S"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,✅,❌,"A, B, P, S"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,✅,✅,"A, B, P"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,✅,✅,"A, B, P"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,✅,✅,"A, B, P"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,✅,✅,"A, B, P"
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,✅,✅,"C, P, A, B"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,✅,✅,"A, K, P"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,✅,✅,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,✅,❌,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,✅,❌,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,✅,❌,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,✅,❌,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,✅,✅,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,✅,✅,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,✅,✅,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,✅,❌,"A, B, P"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,✅,✅,"B, A, P"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,✅,✅,"P, S, A, B"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,✅,❌,"A, B, C, P, S"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,✅,❌,"S, B, C, P"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,✅,✅,"A, B, P, S"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,✅,❌,"P, B, C, A, S"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,✅,❌,"S, B, C, P"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,✅,✅,"A, B, P, S"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,✅,❌,"A, B, P, S"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,✅,✅,"A, B, P"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,✅,✅,"A, B, P"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,✅,✅,"A, B, P"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,✅,✅,"A, B, P"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,✅,✅,"A, B, P"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,✅,❌,"B, P, A"
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,✅,❌,"A, B, P"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,✅,❌,"C, P"
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,✅,❌,"C, P"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,✅,❌,"C, P"
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,✅,❌,"B, C, P"
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,✅,❌,"P, B, C"
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,✅,❌,"C, P, B"
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,✅,✅,"S, A, B, P"
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,✅,✅,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,✅,❌,"A, B, P"
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,✅,❌,"A, B, P"
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,✅,✅,"A, B, P"
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,✅,✅,"A, B, P, S"
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,✅,✅,"S, A, B, K, P"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,✅,❌,B
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,✅,❌,B
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,✅,❌,B
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,✅,❌,"B, K"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,✅,❌,"A, B, P"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,✅,❌,"B, C"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,✅,❌,"P, B"
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,✅,❌,B
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,✅,✅,"A, B, P, S"
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,✅,❌,B
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,✅,✅,"A, B, P, S"
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,✅,✅,"A, B, P"
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,✅,✅,"A, B, P"
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,✅,✅,"A, B, P"
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,✅,✅,"A, B, K, P"
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,✅,✅,"B, P"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,✅,❌,B
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,✅,❌,B
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,✅,❌,B
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,✅,✅,"A, B"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,✅,❌,B
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,✅,❌,B
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,✅,❌,"A, B"
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,✅,❌,"A, B"
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,✅,✅,"A, B, P, S"
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,✅,✅,"A, B, P, S"
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,✅,✅,"A, B, P, S"
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,✅,✅,"A, B, P"
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,✅,✅,"A, B, P"
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,✅,✅,"A, B, P, S"
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,✅,✅,"A, B, K, P, S"
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,✅,✅,"A, B, C"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,✅,✅,"B, C, P"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,✅,✅,"B, C, P"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,✅,❌,"B, C"
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,✅,❌,"B, C, P"
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,✅,❌,"B, C, P"
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,✅,❌,"B, K, P"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,✅,❌,"B, K, P"
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,✅,❌,"A, B"
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,✅,❌,"A, B"
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,✅,✅,"P, S, K, B, A"
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,✅,✅,"S, A, B, P"
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,✅,✅,"P, A, B"
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,✅,❌,"A, B, P"
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,✅,❌,"A, B, K, P, S"
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,✅,❌,"A, B, P"
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,✅,✅,"A, B, P"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,✅,✅,"A, B, C"
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,✅,✅,"B, C, P"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,✅,✅,"B, C, P"
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,✅,❌,"B, C"
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,✅,❌,"C, B"
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,✅,❌,"B, K, P"
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,✅,✅,"A, B, P, S"
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,✅,✅,"A, B, P, S"
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,✅,❌,S
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,✅,✅,"A, P, S, B"
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,✅,✅,"A, B, P, S"
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,✅,✅,"A, B, P"
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,✅,✅,"A, B, P"
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,✅,✅,"A, B, P"
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,✅,✅,"A, B, P"
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,✅,✅,"A, B, P"
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,✅,✅,"A, B, K, P, S"
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,✅,✅,"A, B, P"
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,✅,❌,"C, B"
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,✅,❌,"B, C"
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,✅,✅,"A, B, P"
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,✅,✅,"A, B, P"
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,✅,✅,"A, B, P"
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,✅,✅,"A, B, P"
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,✅,❌,"A, B, P"
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,✅,✅,"A, B, P"
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,✅,✅,"B, A, P"
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,✅,✅,"A, B, P"
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,✅,✅,"A, B, P"
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,✅,❌,"A, B, P"
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,✅,❌,"B, C"
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,✅,❌,"B, C"
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,✅,❌,"C, B"
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,✅,✅,"A, B, P"
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,✅,✅,S
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,✅,❌,"B, C"
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,✅,❌,"B, C, P"
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,✅,❌,"P, C, B"
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,✅,✅,"A, B, P"
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,✅,✅,"A, P, S, B"
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,✅,❌,"A, B, P"
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,✅,✅,"A, B, P"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,✅,❌,"C, P"
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,✅,✅,"A, B, P"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,✅,✅,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,✅,❌,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,✅,❌,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,✅,❌,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,✅,❌,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,✅,✅,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,✅,✅,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,✅,✅,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,✅,❌,"A, B, P"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,✅,✅,"B, A, P"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,✅,✅,"P, S, A, B"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,✅,❌,"A, B, C, P, S"
